,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,jarak_simpanglima,jarak_bandara
113,260000000,110.47,-6.96369,Genuk,78,78.0,2,1,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
114,260000000,110.47,-6.96369,Genuk,78,78.0,2,1,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
115,260000000,110.30158,-7.00234,Ngaliyan,144,50.0,2,1,1,0,1,50185,no,no,no,13.474957943973742,8.883079355300815
116,260000000,110.47585,-7.0089,Pedurungan,60,36.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
117,260000000,110.46427,-7.06513,Tembalang,66,66.0,2,2,1,0,0,50277,no,no,no,9.465292506239196,13.420383724511643
118,262500000,110.36603,-7.08624,Gunung Pati,60,36.0,2,1,1,0,0,50229,yes,no,no,12.344350062543162,11.923145112478005
119,265000000,110.47585,-7.0089,Pedurungan,66,66.0,2,1,1,1,1,50193,no,yes,no,6.204417785257691,11.243303578072164
120,265000000,110.47585,-7.0089,Pedurungan,60,32.0,1,1,2,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
121,265000000,110.43616,-6.98345,Semarang Timur,84,80.0,0,1,1,1,0,50125,no,no,no,1.6410339436634809,6.3835788259335375
122,267100000,110.47,-6.96369,Genuk,60,30.0,2,1,1,0,0,50115,yes,no,yes,5.970068367563139,10.249108144313757
123,269000000,110.42865,-7.08514,Banyumanik,60,30.0,2,1,1,0,1,50266,no,yes,no,10.521664593359683,12.962342732179462
124,269000000,110.42865,-7.08514,Banyumanik,60,30.0,2,1,1,0,1,50266,no,yes,no,10.521664593359683,12.962342732179462
125,269000000,110.4293349,-7.0847575,Banyumanik,60,30.0,2,1,1,1,0,50266,no,no,no,10.484284059559586,12.95669767282153
126,269000000,110.4293349,-7.0847575,Banyumanik,60,30.0,2,1,1,0,0,50266,no,no,no,10.484284059559586,12.95669767282153
127,270000000,110.3662803,-7.086244788,Gunung Pati,120,45.0,2,1,1,0,0,50229,no,no,no,12.335647160279592,11.92614318175868
128,270000000,110.36603,-7.08624,Gunung Pati,61,61.0,2,1,1,1,1,50229,no,no,no,12.344350062543162,11.923145112478005
129,270000000,110.47585,-6.9750990162969,Pedurungan,72,30.0,2,1,1,0,1,50115,yes,no,yes,7.661190165244983,12.388766797981178
130,270000000,110.41763,-6.95449,Semarang Utara,72,30.0,2,1,1,0,1,50178,yes,no,yes,3.989156647148446,5.107790040579067
131,270600000,110.38487,-6.97892,Semarang Barat,60,30.0,1,1,1,0,1,50144,no,no,yes,4.384759125376058,0.6988443482035506
132,275000000,110.42865,-7.08514,Banyumanik,70,36.0,2,1,1,1,1,50266,no,no,no,10.521664593359683,12.962342732179462
133,275000000,110.42865,-7.08514,Banyumanik,70,36.0,2,1,1,1,1,50266,no,no,no,10.521664593359683,12.962342732179462
134,275000000,110.42865,-7.08514,Banyumanik,70,36.0,2,1,1,1,1,50266,yes,no,no,10.521664593359683,12.962342732179462
135,275000000,110.47,-6.96369,Genuk,77,50.0,2,1,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
136,275000000,110.47,-6.96369,Genuk,77,50.0,2,1,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
137,275000000,110.47,-6.96369,Genuk,77,50.0,2,1,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
138,275000000,110.30158,-7.00234,Ngaliyan,65,65.0,2,1,1,1,1,50185,no,no,no,13.474957943973742,8.883079355300815
139,275000000,110.30158,-7.00234,Ngaliyan,124,50.0,0,1,1,0,1,50185,yes,no,no,13.474957943973742,8.883079355300815
140,275000000,110.47585,-7.0089,Pedurungan,96,50.0,2,1,1,0,0,50193,no,no,no,6.204417785257691,11.243303578072164
141,275000000,110.43616,-6.98345,Semarang Timur,100,60.0,2,1,1,0,1,50125,no,yes,no,1.6410339436634809,6.3835788259335375
142,275000000,110.43616,-6.98345,Semarang Timur,60,52.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
143,275000000,110.46427,-7.06513,Tembalang,72,72.0,2,1,1,0,1,50277,yes,no,yes,9.465292506239196,13.420383724511643
144,280000000,110.4293349,-7.0847575,Banyumanik,66,36.0,2,1,1,0,0,50266,no,no,no,10.484284059559586,12.95669767282153
145,280000000,110.4202423,-7.0720607,Banyumanik,91,38.0,2,1,1,0,0,50268,no,no,no,9.060977576059669,11.259934601773873
146,280000000,110.42865,-7.08514,Banyumanik,66,36.0,2,1,1,0,0,50266,no,no,no,10.521664593359683,12.962342732179462
